id,kind,target,arg1,arg2,expected
Q0060,QUOTE,SUI,2026-06-28,2026-07-12,nights=14;total=5659.80
Q0061,QUOTE,STD,2026-07-01,2026-07-02,nights=1;total=177.40
Q0062,QUOTE,DLX,2026-07-04,2026-07-06,nights=2;total=485.40
Q0063,QUOTE,SUI,2026-07-07,2026-07-10,nights=3;total=1224.60
Q0064,QUOTE,STD,2026-07-10,2026-07-14,nights=4;total=664.60
Q0065,QUOTE,DLX,2026-07-13,2026-07-18,nights=5;total=1191.00
Q0066,QUOTE,SUI,2026-07-16,2026-07-22,nights=6;total=2434.20
Q0067,QUOTE,STD,2026-07-19,2026-07-26,nights=7;total=1151.80
Q0068,QUOTE,DLX,2026-07-22,2026-07-31,nights=9;total=2131.80
Q0069,QUOTE,SUI,2026-07-25,2026-08-05,nights=11;total=4450.20
Q0070,QUOTE,STD,2026-07-28,2026-08-11,nights=14;total=2288.60
Q0071,QUOTE,DLX,2026-07-31,2026-08-01,nights=1;total=250.20
Q0072,QUOTE,SUI,2026-08-03,2026-08-05,nights=2;total=821.40
Q0073,QUOTE,STD,2026-08-06,2026-08-09,nights=3;total=502.20
Q0074,QUOTE,DLX,2026-08-09,2026-08-13,nights=4;total=955.80
Q0075,QUOTE,SUI,2026-08-12,2026-08-17,nights=5;total=2031.00
Q0076,QUOTE,STD,2026-08-15,2026-08-21,nights=6;total=989.40
Q0077,QUOTE,DLX,2026-08-18,2026-08-25,nights=7;total=1661.40
Q0078,QUOTE,SUI,2026-08-21,2026-08-30,nights=9;total=3643.80
Q0079,QUOTE,STD,2026-08-24,2026-09-04,nights=11;total=1952.60
Q0080,QUOTE,DLX,2026-08-27,2026-09-10,nights=14;total=3795.00
Q0081,QUOTE,SUI,2026-08-30,2026-08-31,nights=1;total=418.20
Q0082,QUOTE,STD,2026-09-02,2026-09-04,nights=2;total=440.60
Q0083,QUOTE,DLX,2026-09-05,2026-09-08,nights=3;total=972.60
Q0084,QUOTE,SUI,2026-09-08,2026-09-12,nights=4;total=1269.40
Q0085,QUOTE,STD,2026-09-11,2026-09-16,nights=5;total=631.00
Q0086,QUOTE,DLX,2026-09-14,2026-09-20,nights=6;total=1123.80
Q0087,QUOTE,SUI,2026-09-17,2026-09-24,nights=7;total=2210.20
Q0088,QUOTE,STD,2026-09-20,2026-09-29,nights=9;total=1123.80
Q0089,QUOTE,DLX,2026-09-23,2026-10-04,nights=11;total=2047.80
Q0090,QUOTE,SUI,2026-09-26,2026-10-10,nights=14;total=4405.40
Q0091,QUOTE,STD,2026-09-29,2026-09-30,nights=1;total=138.20
Q0092,QUOTE,DLX,2026-10-02,2026-10-04,nights=2;total=384.60
Q0093,QUOTE,SUI,2026-10-05,2026-10-08,nights=3;total=955.80
Q0094,QUOTE,STD,2026-10-08,2026-10-12,nights=4;total=507.80
Q0095,QUOTE,DLX,2026-10-11,2026-10-16,nights=5;total=939.00
Q0096,QUOTE,SUI,2026-10-14,2026-10-20,nights=6;total=1896.60
Q0097,QUOTE,STD,2026-10-17,2026-10-24,nights=7;total=877.40
Q0098,QUOTE,DLX,2026-10-20,2026-10-29,nights=9;total=1678.20
Q0099,QUOTE,SUI,2026-10-23,2026-11-03,nights=11;total=3464.60
Q0100,QUOTE,STD,2026-10-26,2026-11-09,nights=14;total=1739.80
Q0101,QUOTE,DLX,2026-10-29,2026-10-30,nights=1;total=199.80
Q0102,QUOTE,SUI,2026-11-01,2026-11-03,nights=2;total=642.20
Q0103,QUOTE,STD,2026-11-04,2026-11-07,nights=3;total=384.60
Q0104,QUOTE,DLX,2026-11-07,2026-11-11,nights=4;total=754.20
Q0105,QUOTE,SUI,2026-11-10,2026-11-15,nights=5;total=1583.00
Q0106,QUOTE,STD,2026-11-13,2026-11-19,nights=6;total=754.20
Q0107,QUOTE,DLX,2026-11-16,2026-11-23,nights=7;total=1308.60
Q0108,QUOTE,SUI,2026-11-19,2026-11-28,nights=9;total=2837.40
Q0109,QUOTE,DLX,2026-02-11,2026-02-13,nights=2;total=328.60
Q0110,QUOTE,SUI,2026-02-16,2026-02-24,nights=8;total=2165.40
Q0111,QUOTE,STD,2026-02-21,2026-03-06,nights=13;total=1325.40
Q0112,QUOTE,DLX,2026-02-26,2026-03-19,nights=21;total=3307.80
Q0113,QUOTE,SUI,2026-03-03,2026-03-05,nights=2;total=552.60
Q0114,QUOTE,STD,2026-03-08,2026-03-16,nights=8;total=821.40
Q0115,QUOTE,DLX,2026-03-13,2026-03-26,nights=13;total=2053.40
Q0116,QUOTE,SUI,2026-03-18,2026-04-08,nights=21;total=5659.80
Q0117,QUOTE,STD,2026-03-23,2026-03-25,nights=2;total=216.60
Q0118,QUOTE,DLX,2026-03-28,2026-04-05,nights=8;total=1269.40
Q0119,QUOTE,SUI,2026-04-02,2026-04-15,nights=13;total=3509.40
Q0120,QUOTE,STD,2026-04-07,2026-04-28,nights=21;total=2131.80
Q0121,QUOTE,DLX,2026-04-12,2026-04-14,nights=2;total=328.60
Q0122,QUOTE,SUI,2026-04-17,2026-04-25,nights=8;total=2165.40
Q0123,QUOTE,STD,2026-04-22,2026-05-05,nights=13;total=1325.40
Q0124,QUOTE,DLX,2026-04-27,2026-05-18,nights=21;total=3307.80
Q0125,QUOTE,SUI,2026-05-02,2026-05-04,nights=2;total=552.60
Q0126,QUOTE,STD,2026-05-07,2026-05-15,nights=8;total=821.40
Q0127,QUOTE,DLX,2026-05-12,2026-05-25,nights=13;total=2053.40
Q0128,QUOTE,SUI,2026-05-17,2026-06-07,nights=21;total=6466.20
Q0129,QUOTE,STD,2026-05-22,2026-05-24,nights=2;total=216.60
Q0130,QUOTE,DLX,2026-05-27,2026-06-04,nights=8;total=1504.60
Q0131,QUOTE,SUI,2026-06-01,2026-06-14,nights=13;total=5256.60
Q0132,QUOTE,STD,2026-06-06,2026-06-27,nights=21;total=3425.40
Q0133,QUOTE,DLX,2026-06-11,2026-06-13,nights=2;total=485.40
Q0134,QUOTE,SUI,2026-06-16,2026-06-24,nights=8;total=3240.60
Q0135,QUOTE,STD,2026-06-21,2026-07-04,nights=13;total=2126.20
Q0136,QUOTE,DLX,2026-06-26,2026-07-17,nights=21;total=4954.20
Q0137,QUOTE,SUI,2026-07-01,2026-07-03,nights=2;total=821.40
Q0138,QUOTE,STD,2026-07-06,2026-07-14,nights=8;total=1314.20
Q0139,QUOTE,DLX,2026-07-11,2026-07-24,nights=13;total=3072.60
Q0140,QUOTE,SUI,2026-07-16,2026-08-06,nights=21;total=8482.20
Q0141,QUOTE,STD,2026-07-21,2026-07-23,nights=2;total=339.80
Q0142,QUOTE,DLX,2026-07-26,2026-08-03,nights=8;total=1896.60
Q0143,QUOTE,SUI,2026-07-31,2026-08-13,nights=13;total=5256.60
Q0144,QUOTE,STD,2026-08-05,2026-08-26,nights=21;total=3425.40
Q0145,QUOTE,DLX,2026-08-10,2026-08-12,nights=2;total=485.40
Q0146,QUOTE,SUI,2026-08-15,2026-08-23,nights=8;total=3240.60
Q0147,QUOTE,STD,2026-08-20,2026-09-02,nights=13;total=2176.60
Q0148,QUOTE,DLX,2026-08-25,2026-09-15,nights=21;total=5189.40
Q0149,QUOTE,SUI,2026-08-30,2026-09-01,nights=2;total=821.40
Q0150,QUOTE,STD,2026-09-04,2026-09-12,nights=8;total=1359.00
Q0151,QUOTE,DLX,2026-09-09,2026-09-22,nights=13;total=2417.40
Q0152,QUOTE,SUI,2026-09-14,2026-10-05,nights=21;total=6600.60
Q0153,QUOTE,STD,2026-09-19,2026-09-21,nights=2;total=261.40
Q0154,QUOTE,DLX,2026-09-24,2026-10-02,nights=8;total=1493.40
Q0155,QUOTE,SUI,2026-09-29,2026-10-12,nights=13;total=4091.80
Q0156,QUOTE,STD,2026-10-04,2026-10-25,nights=21;total=2602.20
Q0157,QUOTE,DLX,2026-10-09,2026-10-11,nights=2;total=384.60
Q0158,QUOTE,SUI,2026-10-14,2026-10-22,nights=8;total=2523.80
Q0159,QUOTE,STD,2026-10-19,2026-11-01,nights=13;total=1616.60
Q0160,QUOTE,DLX,2026-10-24,2026-11-14,nights=21;total=3895.80
Q0161,QUOTE,SUI,2026-10-29,2026-10-31,nights=2;total=642.20
Q0162,QUOTE,STD,2026-11-03,2026-11-11,nights=8;total=1000.60
Q0163,QUOTE,DLX,2026-11-08,2026-11-21,nights=13;total=2417.40
Q0164,QUOTE,SUI,2026-11-13,2026-12-04,nights=21;total=6600.60
Q0165,QUOTE,STD,2026-11-18,2026-11-20,nights=2;total=261.40
Q0166,QUOTE,DLX,2026-11-23,2026-12-01,nights=8;total=1493.40
Q0167,QUOTE,SUI,2026-11-28,2026-12-11,nights=13;total=4091.80
Q0168,QUOTE,STD,2026-12-03,2026-12-24,status=4xx
Q0169,QUOTE,DLX,2026-12-08,2026-12-10,nights=2;total=384.60
Q0170,QUOTE,SUI,2026-12-13,2026-12-21,status=4xx
Q0171,QUOTE,STD,2026-12-18,2026-12-31,status=4xx
Q0172,QUOTE,DLX,2026-12-23,2027-01-13,status=4xx
Q0173,QUOTE,SUI,2026-12-28,2026-12-30,nights=2;total=1179.80
Q0174,QUOTE,STD,2027-01-02,2027-01-10,status=4xx
Q0175,QUOTE,DLX,2027-01-07,2027-01-20,status=4xx
Q0176,QUOTE,SUI,2027-01-12,2027-02-02,status=4xx
Q0177,QUOTE,STD,2027-01-17,2027-01-19,status=4xx
Q0178,QUOTE,DLX,2027-01-22,2027-01-30,status=4xx
Q0179,QUOTE,SUI,2027-01-27,2027-02-09,status=4xx
Q0180,QUOTE,STD,2027-02-01,2027-02-22,status=4xx
Q0181,QUOTE,STD,2026-06-01,2026-06-02,nights=1;total=177.40
Q0182,QUOTE,DLX,2026-06-01,2026-06-02,nights=1;total=250.20
Q0183,QUOTE,SUI,2026-06-01,2026-06-02,nights=1;total=418.20
Q0184,QUOTE,STD,2026-06-01,2026-06-04,nights=3;total=502.20
Q0185,QUOTE,DLX,2026-06-01,2026-06-04,nights=3;total=720.60
Q0186,QUOTE,SUI,2026-06-01,2026-06-04,nights=3;total=1224.60
Q0187,QUOTE,STD,2026-06-01,2026-06-08,nights=7;total=1151.80
Q0188,QUOTE,DLX,2026-06-01,2026-06-08,nights=7;total=1661.40
Q0189,QUOTE,SUI,2026-06-01,2026-06-08,nights=7;total=2837.40
Q0190,QUOTE,STD,2026-05-31,2026-06-02,nights=2;total=278.20
Q0191,QUOTE,DLX,2026-05-31,2026-06-02,nights=2;total=407.00
Q0192,QUOTE,SUI,2026-05-31,2026-06-02,nights=2;total=687.00
Q0193,QUOTE,STD,2026-05-31,2026-06-04,nights=4;total=603.00
Q0194,QUOTE,DLX,2026-05-31,2026-06-04,nights=4;total=877.40
Q0195,QUOTE,SUI,2026-05-31,2026-06-04,nights=4;total=1493.40
Q0196,QUOTE,STD,2026-05-31,2026-06-08,nights=8;total=1252.60
Q0197,QUOTE,DLX,2026-05-31,2026-06-08,nights=8;total=1818.20
Q0198,QUOTE,SUI,2026-05-31,2026-06-08,nights=8;total=3106.20
Q0199,QUOTE,STD,2026-05-30,2026-06-02,nights=3;total=379.00
Q0200,QUOTE,DLX,2026-05-30,2026-06-02,nights=3;total=563.80
Q0201,QUOTE,SUI,2026-05-30,2026-06-02,nights=3;total=955.80
Q0202,QUOTE,STD,2026-05-30,2026-06-04,nights=5;total=703.80
Q0203,QUOTE,DLX,2026-05-30,2026-06-04,nights=5;total=1034.20
Q0204,QUOTE,SUI,2026-05-30,2026-06-04,nights=5;total=1762.20
Q0205,QUOTE,STD,2026-05-30,2026-06-08,nights=9;total=1353.40
Q0206,QUOTE,DLX,2026-05-30,2026-06-08,nights=9;total=1975.00
Q0207,QUOTE,SUI,2026-05-30,2026-06-08,nights=9;total=3375.00
Q0208,QUOTE,STD,2026-05-28,2026-06-02,nights=5;total=580.60
Q0209,QUOTE,DLX,2026-05-28,2026-06-02,nights=5;total=877.40
Q0210,QUOTE,SUI,2026-05-28,2026-06-02,nights=5;total=1493.40
Q0211,QUOTE,STD,2026-05-28,2026-06-04,nights=7;total=905.40
Q0212,QUOTE,DLX,2026-05-28,2026-06-04,nights=7;total=1347.80
Q0213,QUOTE,SUI,2026-05-28,2026-06-04,nights=7;total=2299.80
Q0214,QUOTE,STD,2026-05-28,2026-06-08,nights=11;total=1555.00
Q0215,QUOTE,DLX,2026-05-28,2026-06-08,nights=11;total=2288.60
Q0216,QUOTE,SUI,2026-05-28,2026-06-08,nights=11;total=3912.60
Q0217,QUOTE,STD,2026-09-01,2026-09-02,nights=1;total=227.80
Q0218,QUOTE,DLX,2026-09-01,2026-09-02,nights=1;total=334.20
Q0219,QUOTE,SUI,2026-09-01,2026-09-02,nights=1;total=541.40
Q0220,QUOTE,STD,2026-09-01,2026-09-04,nights=3;total=653.40
Q0221,QUOTE,DLX,2026-09-01,2026-09-04,nights=3;total=972.60
Q0222,QUOTE,SUI,2026-09-01,2026-09-04,nights=3;total=1594.20
Q0223,QUOTE,STD,2026-09-01,2026-09-08,nights=7;total=1504.60
Q0224,QUOTE,DLX,2026-09-01,2026-09-08,nights=7;total=2249.40
Q0225,QUOTE,SUI,2026-09-01,2026-09-08,nights=7;total=3699.80
Q0226,QUOTE,STD,2026-08-31,2026-09-02,nights=2;total=390.20
Q0227,QUOTE,DLX,2026-08-31,2026-09-02,nights=2;total=569.40
Q0228,QUOTE,SUI,2026-08-31,2026-09-02,nights=2;total=944.60
Q0229,QUOTE,STD,2026-08-31,2026-09-04,nights=4;total=815.80
Q0230,QUOTE,DLX,2026-08-31,2026-09-04,nights=4;total=1207.80
Q0231,QUOTE,SUI,2026-08-31,2026-09-04,nights=4;total=1997.40
Q0232,QUOTE,STD,2026-08-31,2026-09-08,nights=8;total=1667.00
Q0233,QUOTE,DLX,2026-08-31,2026-09-08,nights=8;total=2484.60
Q0234,QUOTE,SUI,2026-08-31,2026-09-08,nights=8;total=4103.00
Q0235,QUOTE,STD,2026-08-30,2026-09-02,nights=3;total=552.60
Q0236,QUOTE,DLX,2026-08-30,2026-09-02,nights=3;total=804.60
Q0237,QUOTE,SUI,2026-08-30,2026-09-02,nights=3;total=1347.80
Q0238,QUOTE,STD,2026-08-30,2026-09-04,nights=5;total=978.20
Q0239,QUOTE,DLX,2026-08-30,2026-09-04,nights=5;total=1443.00
Q0240,QUOTE,SUI,2026-08-30,2026-09-04,nights=5;total=2400.60
Q0241,QUOTE,STD,2026-08-30,2026-09-08,nights=9;total=1829.40
Q0242,QUOTE,DLX,2026-08-30,2026-09-08,nights=9;total=2719.80
Q0243,QUOTE,SUI,2026-08-30,2026-09-08,nights=9;total=4506.20
Q0244,QUOTE,STD,2026-08-28,2026-09-02,nights=5;total=877.40
Q0245,QUOTE,DLX,2026-08-28,2026-09-02,nights=5;total=1275.00
Q0246,QUOTE,SUI,2026-08-28,2026-09-02,nights=5;total=2154.20
Q0247,QUOTE,STD,2026-08-28,2026-09-04,nights=7;total=1303.00
Q0248,QUOTE,DLX,2026-08-28,2026-09-04,nights=7;total=1913.40
Q0249,QUOTE,SUI,2026-08-28,2026-09-04,nights=7;total=3207.00
Q0250,QUOTE,STD,2026-08-28,2026-09-08,nights=11;total=2154.20
Q0251,QUOTE,DLX,2026-08-28,2026-09-08,nights=11;total=3190.20
Q0252,QUOTE,SUI,2026-08-28,2026-09-08,nights=11;total=5312.60
Q0253,QUOTE,STD,2026-09-08,2026-09-09,nights=1;total=138.20
Q0254,QUOTE,DLX,2026-09-08,2026-09-09,nights=1;total=199.80
Q0255,QUOTE,SUI,2026-09-08,2026-09-09,nights=1;total=328.60
Q0256,QUOTE,STD,2026-09-08,2026-09-11,nights=3;total=384.60
Q0257,QUOTE,DLX,2026-09-08,2026-09-11,nights=3;total=569.40
Q0258,QUOTE,SUI,2026-09-08,2026-09-11,nights=3;total=955.80
Q0259,QUOTE,STD,2026-09-08,2026-09-15,nights=7;total=877.40
Q0260,QUOTE,DLX,2026-09-08,2026-09-15,nights=7;total=1308.60
Q0261,QUOTE,SUI,2026-09-08,2026-09-15,nights=7;total=2210.20
Q0262,QUOTE,STD,2026-09-07,2026-09-09,nights=2;total=351.00
Q0263,QUOTE,DLX,2026-09-07,2026-09-09,nights=2;total=519.00
Q0264,QUOTE,SUI,2026-09-07,2026-09-09,nights=2;total=855.00
Q0265,QUOTE,STD,2026-09-07,2026-09-11,nights=4;total=597.40
Q0266,QUOTE,DLX,2026-09-07,2026-09-11,nights=4;total=888.60
Q0267,QUOTE,SUI,2026-09-07,2026-09-11,nights=4;total=1482.20
Q0268,QUOTE,STD,2026-09-07,2026-09-15,nights=8;total=1090.20
Q0269,QUOTE,DLX,2026-09-07,2026-09-15,nights=8;total=1627.80
Q0270,QUOTE,SUI,2026-09-07,2026-09-15,nights=8;total=2736.60
Q0271,QUOTE,STD,2026-09-06,2026-09-09,nights=3;total=563.80
Q0272,QUOTE,DLX,2026-09-06,2026-09-09,nights=3;total=838.20
Q0273,QUOTE,SUI,2026-09-06,2026-09-09,nights=3;total=1381.40
Q0274,QUOTE,STD,2026-09-06,2026-09-11,nights=5;total=810.20
Q0275,QUOTE,DLX,2026-09-06,2026-09-11,nights=5;total=1207.80
Q0276,QUOTE,SUI,2026-09-06,2026-09-11,nights=5;total=2008.60
Q0277,QUOTE,STD,2026-09-06,2026-09-15,nights=9;total=1303.00
Q0278,QUOTE,DLX,2026-09-06,2026-09-15,nights=9;total=1947.00
Q0279,QUOTE,SUI,2026-09-06,2026-09-15,nights=9;total=3263.00
Q0280,QUOTE,STD,2026-09-04,2026-09-09,nights=5;total=989.40
Q0281,QUOTE,DLX,2026-09-04,2026-09-09,nights=5;total=1476.60
Q0282,QUOTE,SUI,2026-09-04,2026-09-09,nights=5;total=2434.20
Q0283,QUOTE,STD,2026-09-04,2026-09-11,nights=7;total=1235.80
Q0284,QUOTE,DLX,2026-09-04,2026-09-11,nights=7;total=1846.20
Q0285,QUOTE,SUI,2026-09-04,2026-09-11,nights=7;total=3061.40
Q0286,QUOTE,STD,2026-09-04,2026-09-15,nights=11;total=1728.60
Q0287,QUOTE,DLX,2026-09-04,2026-09-15,nights=11;total=2585.40
Q0288,QUOTE,SUI,2026-09-04,2026-09-15,nights=11;total=4315.80
Q0289,QUOTE,STD,2026-12-20,2026-12-21,status=4xx
Q0290,QUOTE,DLX,2026-12-20,2026-12-21,status=4xx
Q0291,QUOTE,SUI,2026-12-20,2026-12-21,status=4xx
Q0292,QUOTE,STD,2026-12-20,2026-12-23,status=4xx
Q0293,QUOTE,DLX,2026-12-20,2026-12-23,status=4xx
Q0294,QUOTE,SUI,2026-12-20,2026-12-23,status=4xx
Q0295,QUOTE,STD,2026-12-20,2026-12-27,status=4xx
Q0296,QUOTE,DLX,2026-12-20,2026-12-27,status=4xx
Q0297,QUOTE,SUI,2026-12-20,2026-12-27,status=4xx
Q0298,QUOTE,STD,2026-12-19,2026-12-21,status=4xx
Q0299,QUOTE,DLX,2026-12-19,2026-12-21,status=4xx
Q0300,QUOTE,SUI,2026-12-19,2026-12-21,status=4xx
Q0301,QUOTE,STD,2026-12-19,2026-12-23,status=4xx
Q0302,QUOTE,DLX,2026-12-19,2026-12-23,status=4xx
Q0303,QUOTE,SUI,2026-12-19,2026-12-23,status=4xx
Q0304,QUOTE,STD,2026-12-19,2026-12-27,status=4xx
Q0305,QUOTE,DLX,2026-12-19,2026-12-27,status=4xx
Q0306,QUOTE,SUI,2026-12-19,2026-12-27,status=4xx
Q0307,QUOTE,STD,2026-12-18,2026-12-21,status=4xx
Q0308,QUOTE,DLX,2026-12-18,2026-12-21,status=4xx
Q0309,QUOTE,SUI,2026-12-18,2026-12-21,status=4xx
Q0310,QUOTE,STD,2026-12-18,2026-12-23,status=4xx
Q0311,QUOTE,DLX,2026-12-18,2026-12-23,status=4xx
Q0312,QUOTE,SUI,2026-12-18,2026-12-23,status=4xx
Q0313,QUOTE,STD,2026-12-18,2026-12-27,status=4xx
Q0314,QUOTE,DLX,2026-12-18,2026-12-27,status=4xx
Q0315,QUOTE,SUI,2026-12-18,2026-12-27,status=4xx
Q0316,QUOTE,STD,2026-12-16,2026-12-21,status=4xx
Q0317,QUOTE,DLX,2026-12-16,2026-12-21,status=4xx
Q0318,QUOTE,SUI,2026-12-16,2026-12-21,status=4xx
Q0319,QUOTE,STD,2026-12-16,2026-12-23,status=4xx
Q0320,QUOTE,DLX,2026-12-16,2026-12-23,status=4xx
Q0321,QUOTE,SUI,2026-12-16,2026-12-23,status=4xx
Q0322,QUOTE,STD,2026-12-16,2026-12-27,status=4xx
Q0323,QUOTE,DLX,2026-12-16,2026-12-27,status=4xx
Q0324,QUOTE,SUI,2026-12-16,2026-12-27,status=4xx
Q0325,QUOTE,STD,2026-12-27,2026-12-28,nights=1;total=250.20
Q0326,QUOTE,DLX,2026-12-27,2026-12-28,nights=1;total=362.20
Q0327,QUOTE,SUI,2026-12-27,2026-12-28,nights=1;total=597.40
Q0328,QUOTE,STD,2026-12-27,2026-12-30,nights=3;total=720.60
Q0329,QUOTE,DLX,2026-12-27,2026-12-30,nights=3;total=1056.60
Q0330,QUOTE,SUI,2026-12-27,2026-12-30,nights=3;total=1762.20
Q0331,QUOTE,STD,2026-12-27,2027-01-03,nights=7;total=1661.40
Q0332,QUOTE,DLX,2026-12-27,2027-01-03,nights=7;total=2445.40
Q0333,QUOTE,SUI,2026-12-27,2027-01-03,nights=7;total=4091.80
Q0334,QUOTE,STD,2026-12-26,2026-12-28,status=4xx
Q0335,QUOTE,DLX,2026-12-26,2026-12-28,status=4xx
Q0336,QUOTE,SUI,2026-12-26,2026-12-28,status=4xx
Q0337,QUOTE,STD,2026-12-26,2026-12-30,status=4xx
Q0338,QUOTE,DLX,2026-12-26,2026-12-30,status=4xx
Q0339,QUOTE,SUI,2026-12-26,2026-12-30,status=4xx
Q0340,QUOTE,STD,2026-12-26,2027-01-03,status=4xx
Q0341,QUOTE,DLX,2026-12-26,2027-01-03,status=4xx
Q0342,QUOTE,SUI,2026-12-26,2027-01-03,status=4xx
Q0343,QUOTE,STD,2026-12-25,2026-12-28,status=4xx
Q0344,QUOTE,DLX,2026-12-25,2026-12-28,status=4xx
Q0345,QUOTE,SUI,2026-12-25,2026-12-28,status=4xx
Q0346,QUOTE,STD,2026-12-25,2026-12-30,status=4xx
Q0347,QUOTE,DLX,2026-12-25,2026-12-30,status=4xx
Q0348,QUOTE,SUI,2026-12-25,2026-12-30,status=4xx
Q0349,QUOTE,STD,2026-12-25,2027-01-03,status=4xx
Q0350,QUOTE,DLX,2026-12-25,2027-01-03,status=4xx
Q0351,QUOTE,SUI,2026-12-25,2027-01-03,status=4xx
Q0352,QUOTE,STD,2026-12-23,2026-12-28,status=4xx
Q0353,QUOTE,DLX,2026-12-23,2026-12-28,status=4xx
Q0354,QUOTE,SUI,2026-12-23,2026-12-28,status=4xx
Q0355,QUOTE,STD,2026-12-23,2026-12-30,status=4xx
Q0356,QUOTE,DLX,2026-12-23,2026-12-30,status=4xx
